caption_id,caption_text,make,model,year_text,from_year,to_year,complete_bodytype,doors,body_type,series,badge,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ8P-3DR,AUDI A3 3 DOOR HATCH (S3 - 8P) (WAUZZZ8P...) 6/04 - 4/13,AUDI,A3,06/04 - 4/13,2004,2013,3DR HATCH,3,HATCH,,,AIZ8P LFW/MY,AIZ8P LFW/RY,AIZ8P 3FD/LH G SK,AIZ8P 3FD/RH G SK,AIZ8P SW/LHX G SK,AIZ8P SW/RHX G SK,AIZ8PH RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ8L-3DR,AUDI A3 3 DOOR HATCH (WAUZZZ8L...) 5/97 - 5/04,AUDI,A3,05/97 - 05/04,1997,2004,3DR HATCH,3,HATCH,,,AIZ8L LFW,AIZ8L LFW/MY,AIZ8L 3FD/LH G,AIZ8L 3FD/RH G,AIZ8L 3FD/LH G SK,AIZ8L 3FD/RH G SK,AIZ8L 3SW/LHX G,AIZ8L 3SW/RHX G,AIZ8L 3SW/LHX G SK,AIZ8L 3SW/RHX G SK,AIZ8L RW/TGHX,AIZ8L RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ8P-5DR,AUDI A3 5 DOOR HATCH (S3 - 8P) 6/04 - 4/13,AUDI,A3,06/04 - 4/13,2004,2013,5DR HATCH,5,HATCH,,,AIZ8P LFW/MY,AIZ8P LFW/RY,AIZ8P 4FD/LH G SK,AIZ8P 4FD/RH G SK,AIZ8P RD/LH G SK,AIZ8P RD/RH G SK,AIZ8P OW/LHX G SK,AIZ8P OW/RHX G SK,AIZ8PS RW/TPHX SK,AIZ8PS RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ8L-5DR,AUDI A3 5 DOOR HATCH (WAUZZZ8L...) 5/97 - 5/04,AUDI,A3,05/97 - 05/04,1997,2004,5DR HATCH,5,HATCH,,,AIZ8L LFW,AIZ8L LFW/MY,AIZ8L 5FD/LH G,AIZ8L 5FD/RH G,AIZ8L 5FD/LH G SK,AIZ8L 5FD/RH G SK,AIZ8L RD/LH G,AIZ8L RD/RH G,AIZ8L RD/LH G SK,AIZ8L RD/RH G SK,AIZ8L OW/LH G,AIZ8L OW/RH G,AIZ8L OW/LH G SK,AIZ8L OW/RH G SK,AIZ8L RW/TGHX,AIZ8L RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ8VX-5DR,AUDI A3 5 DOOR HATCH / SPORTSBACK WAGON (8V) 2013-2020,AUDI,A3,05/13 on,2013,2021,5DR HATCH,5,HATCH,,,8616AGSMVWZ SK,AIZ8V LFW/RY,AIZ8V LFW/ROY,AIZ8V FD/LH G,AIZ8V FD/RH G,AIZ8V RD/LH G,AIZ8V RD/RH G,AIZ8V SW/LHX G,AIZ8V SW/RHX G,AIZZ8V RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ8VX-3DR,AUDI A3 3 DOOR HATCH (8V) 2012-2020,AUDI,A3,05/13 on,2012,2021,3DR HATCH,3,HATCH,,,8616AGSMVWZ SK,AIZ8V LFW/RY,AIZ8V LFW/ROY,AIZ8VX RW/TGHX,AIZ8VX RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ8VX-4DR,AUDI A3 4 DOOR SEDAN (8V) 2014-2020,AUDI,A3,01/14 on,2014,2021,4DR SEDAN,4,SEDAN,,,8620AGAMVZ SK,AIZ8VI LFW/RY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ8P,AUDI A3 8P 2 DR CONVERTIBLE 07/08 - 06/13,AUDI,A3,07/08 - 06/13,2008,2013,2DR CONVERTIBLE,2,CONVERTIBLE,,,AIZ8P LFW/RAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ8HS-2001,"AUDI A4 4 DOOR SEDAN (B6) (WAUZZZ8E..., 8H...) 7/01 - 2/05",AUDI,A4,07/01 - 03/08,2001,2008,4DR SEDAN,4,SEDAN,,,AIZ8H LFW/MY,AIZ8HS FD/LH GY SK,AIZ8HS FD/RH GY SK,AIZ8HS RD/LH GY SK,AIZ8HS RD/RH GY SK,AIZ8HS OW/LHX G OE,AIZ8HS OW/RHX G OE,AIZ8HS RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ8HS-SDN,AUDI A4 4 DOOR SEDAN (B7) (WAUZZZ8E...) 3/05 - 3/08,AUDI,A4,07/01 - 03/08,2001,2008,4DR SEDAN,4,SEDAN,,,AIZ8H LFW,AIZ8H LFW/MY,AIZ8HS FD/LH GY SK,AIZ8HS FD/RH GY SK,AIZ8HS RD/LH GY SK,AIZ8HS RD/RH GY SK,AIZ8HS OW/LHX G OE,AIZ8HS OW/RHX G OE,AIZ8HS RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
